return_id,user_id,order_id,product_name,reason,apply_time,status
1,1,202403200001,Apple Watch Series 9,收到后无法开机，充电无反应,2024-03-20 10:05:00,已同意
2,2,202403200002,YSL小金条口红 #21,实物颜色与直播间展示差异较大,2024-03-20 11:30:00,待处理
3,3,202403200003,华为Mate60 Pro手机壳,收到时包装破损，手机壳有明显划痕,2024-03-20 14:15:00,已同意
4,4,202403200004,ZARA春季新款连衣裙,尺码偏小，想换大一号,2024-03-20 15:20:00,已拒绝
5,5,202403200005,Apple AirPods Pro 2,左耳无声音，右耳正常,2024-03-20 16:30:00,待处理
6,6,202403200006,小米14 Pro,屏幕有坏点，影响使用,2024-03-20 17:45:00,已拒绝
7,7,202403200007,SK-II神仙水,包装破损，担心产品变质,2024-03-20 18:20:00,已同意
8,8,202403200008,戴森吸尘器V15,吸力不足，怀疑是翻新机,2024-03-20 19:10:00,待处理
9,9,202403200009,华为MatePad Pro,屏幕有划痕，怀疑是二手,2024-03-21 09:30:00,已同意
10,10,202403200010,耐克Air Force 1,鞋面有污渍，怀疑是试穿品,2024-03-21 10:15:00,已同意
11,11,202403200011,索尼WH-1000XM5,降噪功能异常，有电流声,2024-03-21 11:45:00,已同意
12,12,202403200012,李宁运动套装,尺码不合适，想换小一号,2024-03-21 13:20:00,待处理
13,13,202403200013,欧莱雅小棕瓶精华,收到时瓶身有裂痕,2024-03-21 14:30:00,已拒绝
14,14,202403200014,罗技MX Master 3S,鼠标滚轮失灵,2024-03-21 15:45:00,待处理
15,15,202403200015,优衣库羽绒服,充绒量不足，保暖效果差,2024-03-21 16:20:00,已同意 
