date,open,high,low,close,volume,hold,MA_5,HV_20,ATR_14,RSI_14,OBV,MACD,a_close,c_close,LPR1Y,大豆产量(万吨),GDP
2024-03-14,3208.0,3281.0,3203.0,3266.0,1821233,1505165,3231.2,0.1634017860910689,55.42409598205954,70.1770942643854,108031829,40.33220035399654,4760.0,2425.0,3.45,2084.17,304761.8
2024-03-15,3266.0,3312.0,3238.0,3292.0,1925437,1463153,3242.8,0.1632790786981633,56.75094626905529,72.26433871686103,109957266,47.337358174143446,4780.0,2451.0,3.45,2084.17,304761.8
2024-03-18,3270.0,3337.0,3260.0,3266.0,1803985,1446671,3253.2,0.1667781547258023,58.19730724983706,67.19940820492148,108153281,50.21219853837101,4777.0,2440.0,3.45,2084.17,304761.8
2025-03-19,2907.0,2924.0,2880.0,2909.0,1529830,1839880,2897.8,0.2281973533542376,55.48682599766381,53.06411491545761,118585267,10.581266759059872,3917.0,2284.0,3.1,2084.17,318758.0
2025-03-20,2905.0,2935.0,2854.0,2855.0,2348030,1819976,2893.4,0.2348259078681285,57.30919556925926,46.31079588256649,116237237,6.3554389931287005,3854.0,2280.0,3.1,2084.17,318758.0
2025-03-21,2850.0,2883.0,2845.0,2861.0,1448365,1776189,2885.4,0.2338671098503946,55.92996731431217,47.1161403139584,117685602,3.4508110968222354,3887.0,2289.0,3.1,2084.17,318758.0
2025-03-24,2860.0,2862.0,2834.0,2858.0,1209601,1753383,2878.0,0.2293550358885084,53.93496964900417,46.738632984838254,116476001,0.8964637581561874,3888.0,2271.0,3.1,2084.17,318758.0
2025-03-25,2855.0,2879.0,2848.0,2868.0,973231,1716506,2870.2,0.2295843853921225,52.29675753121816,48.2277077502124,117449232,-0.317300837757557,3881.0,2271.0,3.1,2084.17,318758.0
2025-03-26,2863.0,2874.0,2816.0,2820.0,1570447,1736626,2852.4,0.2349242394798051,52.704131993274,42.13790708967856,115878785,-5.093699870592445,3877.0,2262.0,3.1,2084.17,318758.0
2025-03-27,2824.0,2837.0,2806.0,2826.0,1148403,1590086,2846.6,0.2239388734550479,51.153836850897285,43.10501544784682,117027188,-8.29921250463076,3864.0,2266.0,3.1,2084.17,318758.0
2025-03-28,2970.0,2970.0,2939.0,2942.0,547756,1795382,2862.8,0.2707697382081891,57.78570564726176,57.792866972614064,117574944,-1.4625148531831655,3889.0,2261.0,3.1,2084.17,318758.0
2025-03-31,2942.0,2992.0,2934.0,2989.0,682366,1833643,2889.0,0.260844995812484,57.80101238674307,62.06592102044969,118257310,7.659826780893127,3907.0,2251.0,3.1,2084.17,318758.0
2025-04-01,2985.0,2991.0,2938.0,2951.0,865877,1843857,2905.6,0.2618711090909553,57.45808293054713,57.038012802253135,117391433,11.688330035159195,3887.0,2254.0,3.1,2084.17,318758.0
2025-04-02,2960.0,2986.0,2945.0,2983.0,683460,1864781,2938.2,0.2372331862660873,56.28250557836519,59.9782431193764,118074893,17.26407098895561,3954.0,2268.0,3.1,2084.17,318758.0
2025-04-03,2983.0,3041.0,2965.0,3039.0,1442436,1960957,2980.8,0.2446767598529568,57.69089803705339,64.55049266970663,119517329,25.90302391869409,3979.0,2284.0,3.1,2084.17,318758.0
2025-04-07,3100.0,3120.0,3042.0,3056.0,2068098,2069991,3003.6,0.2440544237345559,59.35583389154957,65.82682759068399,121585427,33.73236853408798,4027.0,2283.0,3.1,2084.17,318758.0
2025-04-08,3057.0,3168.0,3048.0,3164.0,2551277,2349506,3038.6,0.265035907320223,63.68756004215317,72.58091807650818,124136704,48.0974405998918,4078.0,2288.0,3.1,2084.17,318758.0
2025-04-09,3162.0,3164.0,3091.0,3119.0,2980757,2416074,3072.2,0.2471052527253142,64.35273432485651,66.66836786721596,121155947,55.21426412039409,4074.0,2309.0,3.1,2084.17,318758.0
2025-04-10,3141.0,3146.0,3053.0,3074.0,2599623,2396848,3090.4,0.2536250676677831,66.39896758736676,61.29140946768429,118556324,56.571157031096845,4107.0,2316.0,3.1,2084.17,318758.0
2025-04-11,3078.0,3093.0,3051.0,3082.0,1948453,2368722,3099.0,0.2510907243682435,64.65618418826912,61.88002486521185,120504777,57.62774085536694,4186.0,2314.0,3.1,2084.17,318758.0
2025-04-14,3086.0,3118.0,3075.0,3104.0,2164045,2426884,3108.6,0.2508231829864653,63.10931388910704,63.52274574815655,122668822,59.55380805836603,4202.0,2310.0,3.1,2084.17,318758.0
2025-04-15,3106.0,3124.0,3064.0,3066.0,1944264,2484209,3089.0,0.2563602069420267,62.88722003988511,58.8086542278435,120724558,57.35282016261499,4215.0,2302.0,3.1,2084.17,318758.0
2025-04-16,3060.0,3081.0,3011.0,3013.0,2192116,2482896,3067.8,0.2661853403879144,63.39527575132188,52.91084890001437,118532442,50.746885826483776,4181.0,2304.0,3.1,2084.17,318758.0
2025-04-17,3027.0,3036.0,3012.0,3020.0,1371591,2427840,3057.0,0.2661478741177789,60.58132748337032,53.57310457625012,119904033,45.55138871610825,4198.0,2303.0,3.1,2084.17,318758.0
2025-04-18,3020.0,3031.0,3004.0,3021.0,1403534,2414587,3044.8,0.2549971269974826,58.18266123455816,53.673340283468455,121307567,41.04151048186941,4116.0,2288.0,3.1,2084.17,318758.0
2025-04-21,3020.0,3066.0,3012.0,3045.0,1817594,2399555,3033.0,0.2555817425953619,57.883899717804006,56.1218244614356,123125161,38.954950492287935,4166.0,2302.0,3.1,2084.17,318758.0
2025-04-22,3048.0,3064.0,3032.0,3054.0,1583221,2416736,3030.6,0.2550846845320328,56.03504973796087,57.038801899336654,124708382,37.59419892788856,4260.0,2324.0,3.1,2084.17,318758.0
2025-04-23,3052.0,3064.0,3023.0,3048.0,1733334,2418994,3037.6,0.2558051209828046,54.96111761382081,56.19564925518729,122975048,35.62102663181668,4240.0,2324.0,3.1,2084.17,318758.0
2025-04-24,3042.0,3075.0,3034.0,3059.0,1919721,2417063,3045.4,0.2447621101888798,53.96389492711933,57.43783249840347,124894769,34.54664917327773,4298.0,2338.0,3.1,2084.17,318758.0
2025-04-25,3055.0,3061.0,3023.0,3031.0,1774441,2437193,3047.4,0.2492555911505742,52.823616718039375,53.2949332582718,123120328,31.0775882109092,4237.0,2336.0,3.1,2084.17,318758.0
2025-04-28,3025.0,3034.0,2975.0,2985.0,1850403,2494787,3035.4,0.2148113108206399,53.26478695246514,47.2635472367804,121269925,24.335986736564337,4225.0,2361.0,3.1,2084.17,318758.0
2025-04-29,2985.0,2992.0,2961.0,2964.0,1405713,2473108,3017.4,0.2087102691237337,51.67444502728905,44.77246342643537,119864212,17.101558382174062,4162.0,2355.0,3.1,2084.17,318758.0
2025-04-30,2961.0,2970.0,2918.0,2920.0,1479625,2453947,2991.8,0.2105158441017849,51.697698953911264,40.01375202280545,118384587,7.728697895035111,4188.0,2377.0,3.1,2084.17,318758.0
